SampleID,Sex,HostStrain,Host,Treatment,Type,Line,Virulence,TCID50,Copy Number,Host,Specific.infectivity
9768,F,BALB/C,BALBF,1X,HOM,A,2.585711,234420,3790000,BALBF,0.0618522427
9773,F,BALB/C,BALBF,1X,HOM,B,4.154758,1645965,245000000,BALBF,0.0067182245
9783,F,BALB/C,BALBF,1X,HOM,C,3.734649,1459932,12100000,BALBF,0.1206555372
9776,F,BALB/C,BALBF,1X,HOM,D,3.308271,192909,1800000,BALBF,0.1071716667
9769,F,BALB/C,BALBF,2X,HOM,AB,3.085051,3589146,167000000,BALBF,0.0214918922
9786,F,BALB/C,BALBF,2X,HOM,CD,3.23894,2430557,422000000,BALBF,0.0057596137
9770,F,BALB/C,BALBF,4X,HOM,ABCD,4.551737,4700982,668000000,BALBF,0.0070373982
9785,F,BALB/C,BALBF,4X,HOM,ABCD,4.551737,4654231,650000000,BALBF,0.0071603554
9515,M,BALB/C,BALBM,1X,HOM,A,1.072365,1155705,359000000,BALBM,0.0032192340
9518,M,BALB/C,BALBM,1X,HOM,B,0.6279632,530001,16900000,BALBM,0.0313610059
9500,M,BALB/C,BALBM,1X,HOM,C,1.502708,644049,135000000,BALBM,0.0047707333
9536,M,BALB/C,BALBM,1X,HOM,D,2.016461,1155705,273000000,BALBM,0.0042333516
9516,M,BALB/C,BALBM,2X,HOM,AB,1.710267,530001,110000000,BALBM,0.0048181909
9537,M,BALB/C,BALBM,2X,HOM,CD,3.106333,530001,315000000,BALBM,0.0016825429
9517,M,BALB/C,BALBM,4X,HOM,ABCD,1.679466,2520099,248000000,BALBM,0.0101616895
10309,F,C57BL/6,BL6F,1X,HOM,A,3.883182,17294,65200000,BL6F,0.0002652454
10312,F,C57BL/6,BL6F,1X,HOM,B,0.7909246,832092,304000000,BL6F,0.0027371447
10314,F,C57BL/6,BL6F,1X,HOM,C,1.029485,107504,193000000,BL6F,0.0005570155
10317,F,C57BL/6,BL6F,1X,HOM,D,0.4624934,18605,47700000,BL6F,0.0003900419
10313,F,C57BL/6,BL6F,2X,HOM,AB,3.792291,59909,47700000,BL6F,0.0012559539
10220,F,C57BL/6,BL6F,2X,HOM,CD,1.608193,8532,22900000,BL6F,0.0003725764
10311,F,C57BL/6,BL6F,4X,HOM,ABCD,2.839511,577386,1010000000,BL6F,0.0005716693
10318,F,C57BL/6,BL6F,4X,HOM,ABCD,2.839511,621165,1080000000,BL6F,0.0005751528
10299,M,C57BL/6,BL6M,1X,HOM,A,,1,27200000,BL6M,0.0000000368
10302,M,C57BL/6,BL6M,1X,HOM,B,,21534,12700000,BL6M,0.0016955906
10304,M,C57BL/6,BL6M,1X,HOM,C,,5778,45900000,BL6M,0.0001258824
10307,M,C57BL/6,BL6M,1X,HOM,D,,1,47900000,BL6M,0.0000000209
10300,M,C57BL/6,BL6M,2X,HOM,AB,,3220,141000000,BL6M,0.0000228369
10305,M,C57BL/6,BL6M,2X,HOM,CD,,2181,33500000,BL6M,0.0000651045
10009,M,C57BL/6,BL6M,4X,HOM,ABCD,,3220,73200000,BL6M,0.0000439891
