SampleID,Sex,HostStrain,Host,Treatment,Round,Type,Line,Virulence,TCID50,Copy Number,Specific.infectivity
9768,F,BALB/C,BALBF,1X,10,HOM,A,2.585711,234420,3790000,0.061852243
9773,F,BALB/C,BALBF,1X,10,HOM,B,4.154758,1645965,245000000,0.006718225
9783,F,BALB/C,BALBF,1X,10,HOM,C,3.734649,1459932,12100000,0.120655537
9776,F,BALB/C,BALBF,1X,10,HOM,D,3.308271,192909,1800000,0.107171667
9769,F,BALB/C,BALBF,2X,10,HOM,AB,3.085051,3589146,167000000,0.021491892
9786,F,BALB/C,BALBF,2X,10,HOM,CD,3.23894,2430557,422000000,0.005759614
9785,F,BALB/C,BALBF,4X,10,HOM,ABCD,4.551737,4654231,650000000,0.007160355
9515,M,BALB/C,BALBM,1X,10,HOM,A,1.072365,1155705,359000000,0.003219234
9518,M,BALB/C,BALBM,1X,10,HOM,B,0.6279632,530001,16900000,0.031361006
9500,M,BALB/C,BALBM,1X,10,HOM,C,1.502708,644049,135000000,0.004770733
9536,M,BALB/C,BALBM,1X,10,HOM,D,2.016461,1155705,273000000,0.004233352
9516,M,BALB/C,BALBM,2X,10,HOM,AB,1.710267,530001,110000000,0.004818191
9537,M,BALB/C,BALBM,2X,10,HOM,CD,3.106333,530001,315000000,0.001682543
9517,M,BALB/C,BALBM,4X,10,HOM,ABCD,1.679466,2520099,248000000,0.01016169
10309,F,C57BL/6,BL6F,1X,10,HOM,A,3.883182,17294,65200000,0.000265245
10312,F,C57BL/6,BL6F,1X,10,HOM,B,0.7909246,832092,304000000,0.002737145
10314,F,C57BL/6,BL6F,1X,10,HOM,C,1.029485,107504,193000000,0.000557016
10317,F,C57BL/6,BL6F,1X,10,HOM,D,0.4624934,18605,47700000,0.000390042
10313,F,C57BL/6,BL6F,2X,10,HOM,AB,3.792291,59909,47700000,0.001255954
10220,F,C57BL/6,BL6F,2X,10,HOM,CD,1.608193,8532,22900000,0.000372576
10318,F,C57BL/6,BL6F,4X,10,HOM,ABCD,2.839511,621165,1080000000,0.000575153
10299,M,C57BL/6,BL6M,1X,10,HOM,A,,0,27200000,0
10302,M,C57BL/6,BL6M,1X,10,HOM,B,,21534,12700000,0.001696
10304,M,C57BL/6,BL6M,1X,10,HOM,C,,5778,45900000,0.000126
10307,M,C57BL/6,BL6M,1X,10,HOM,D,,0,47900000,0
10300,M,C57BL/6,BL6M,2X,10,HOM,AB,,3220,141000000,0.000023
10305,M,C57BL/6,BL6M,2X,10,HOM,CD,,2181,33500000,0.000065
10009,M,C57BL/6,BL6M,4X,10,HOM,ABCD,,3220,73200000,0.000044
8598,F,BALB/C,BALBF,HK68,HK68,HK68,A,,164596,,
8596,F,BALB/C,BALBF,HK68,HK68,HK68,B,,62117,,
8600,F,BALB/C,BALBF,HK68,HK68,HK68,C,,57739,,
8595,F,BALB/C,BALBF,HK68,HK68,HK68,D,,34616,,
8594,F,BALB/C,BALBF,HK68,HK68,HK68,,,23442,,
8597,F,BALB/C,BALBF,HK68,HK68,HK68,,,45340,,
8599,F,BALB/C,BALBF,HK68,HK68,HK68,,,18706,,
8601,F,BALB/C,BALBF,HK68,HK68,HK68,,,19291,,
8602,F,BALB/C,BALBF,HK68,HK68,HK68,,,19291,,
8603,F,BALB/C,BALBF,HK68,HK68,HK68,,,25841,,
8542,M,BALB/C,BALBM,HK68,HK68,HK68,A,,200015,,
8547,M,BALB/C,BALBM,HK68,HK68,HK68,B,,111464,,
8541,M,BALB/C,BALBM,HK68,HK68,HK68,C,,91726,,
8539,M,BALB/C,BALBM,HK68,HK68,HK68,D,,83209,,
8538,M,BALB/C,BALBM,HK68,HK68,HK68,,,49824,,
8543,M,BALB/C,BALBM,HK68,HK68,HK68,,,1861,,
8544,M,BALB/C,BALBM,HK68,HK68,HK68,,,62117,,
8545,M,BALB/C,BALBM,HK68,HK68,HK68,,,0,,
8546,M,BALB/C,BALBM,HK68,HK68,HK68,,,44707,,
8327,F,C57BL/6,BL6F,HK68,HK68,HK68,A,,2073838,,
8326,F,C57BL/6,BL6F,HK68,HK68,HK68,B,,463537,,
8325,F,C57BL/6,BL6F,HK68,HK68,HK68,C,,243056,,
8312,F,C57BL/6,BL6F,HK68,HK68,HK68,D,,200015,,
8321,F,C57BL/6,BL6F,HK68,HK68,HK68,,,75483,,
8322,F,C57BL/6,BL6F,HK68,HK68,HK68,,,1404396,,
8323,F,C57BL/6,BL6F,HK68,HK68,HK68,,,233285,,
8324,F,C57BL/6,BL6F,HK68,HK68,HK68,,,13884,,
8311,F,C57BL/6,BL6F,HK68,HK68,HK68,,,111464,,
8313,F,C57BL/6,BL6F,HK68,HK68,HK68,,,75483,,
8278,M,C57BL/6,BL6M,HK68,HK68,HK68,A,,782639,,
8244,M,C57BL/6,BL6M,HK68,HK68,HK68,B,,267934,,
8235,M,C57BL/6,BL6M,HK68,HK68,HK68,C,,145993,,
8245,M,C57BL/6,BL6M,HK68,HK68,HK68,D,,91726,,
8236,M,C57BL/6,BL6M,HK68,HK68,HK68,,,34616,,
8237,M,C57BL/6,BL6M,HK68,HK68,HK68,,,18706,,
8238,M,C57BL/6,BL6M,HK68,HK68,HK68,,,322,,
8246,M,C57BL/6,BL6M,HK68,HK68,HK68,,,4930,,
8279,M,C57BL/6,BL6M,HK68,HK68,HK68,,,1804,,
8280,M,C57BL/6,BL6M,HK68,HK68,HK68,,,62117,,
