ID,Sex,HostStrain,Treatment,Familiarity,Host,Status,Test,Experiment,Dose,Line,Wt_D0,Wt_D1,Wt_D2,Wt_D3,Wt_D4,Wt_D5,Wt_D6,Wt_D7,Wt_D8,Wt_D9,Wt_D10,Pct_D0,Pct_D1,Pct_D2,Pct_D3,Pct_D4,Pct_D5,Pct_D6,Pct_D7,Pct_D8,Pct_D9,Pct_D10,TTD,Event,PctDay
10453,F,BALB/C,1X,FAM,BALBF,Passaged,BALBF.FAM,HK68BALB,4000,A,21.8,21.7,19.4,18.5,18.3,19.2,18.8,18.9,20.1,20.2,18.4,1,1,0.89,0.85,0.84,0.88,0.86,0.87,0.92,0.93,0.84,10,0,1.86
10541,F,C57BL/6,1X,UNF,BALBF,Passaged,BALBF.UNF,BALBintoBL6,4000,A,22.7,22,21.6,22,21.6,21.4,21.2,21.9,21.8,21.4,21.6,1,0.97,0.95,0.97,0.95,0.94,0.93,0.96,0.96,0.94,0.95,10,0,0.57
10563,F,BALB/C,1X,FAM,BALBF,Passaged,BALBF.FAM,HK68BALB,4000,A,21.4,21.1,19.2,17.7,16.9,16.5,16.4,16.5,16.8,17,16.9,1,0.99,0.9,0.83,0.79,0.77,0.77,0.77,0.79,0.79,0.79,10,0,3.29
10719,F,C57BL/6,1X,UNF,BALBF,Passaged,BALBF.UNF,BALBintoBL6,4000,A,19.4,19.5,19.8,19.5,19.6,18.9,19.1,19.1,19.3,20,20.1,1,1.01,1.02,1.01,1.01,0.97,0.98,0.98,0.99,1.03,1.04,10,0,0.29
10618,F,BALB/C,1X,FAM,BALBF,Passaged,BALBF.FAM,HK68BALB,4000,B,20.9,20.4,18.8,17,16,16,15.8,16.4,17.1,16.8,16.3,1,0.98,0.9,0.81,0.77,0.77,0.76,0.78,0.82,0.8,0.78,10,0,3.14
10628,F,BALB/C,1X,FAM,BALBF,Passaged,BALBF.FAM,HK68BALB,4000,C,20.1,20.5,18.7,17.5,16.8,15.7,15.2,15.2,16.6,17,16.1,1,1.02,0.93,0.87,0.84,0.78,0.76,0.76,0.83,0.85,0.8,10,0,3.43
10567,F,BALB/C,1X,FAM,BALBF,Passaged,BALBF.FAM,HK68BALB,4000,D,19,18.4,16.7,15.3,14.7,14.7,14.9,14.9,15.2,15.5,15.1,1,0.97,0.88,0.81,0.77,0.77,0.78,0.78,0.8,0.82,0.79,10,0,3.14
10638,F,BALB/C,1X,FAM,BALBF,Passaged,BALBF.FAM,HK68BALB,4000,D,19,18.1,16.8,15.9,15.6,15.1,14.5,14.3,14.8,15.1,15,1,0.95,0.88,0.84,0.82,0.79,0.76,0.75,0.78,0.79,0.79,10,0,3.57
10450,F,BALB/C,1XP,FAM,BALBF,Passaged,BALBF.FAM,HK68BALB,4000,A+B+C+D,19.3,19.1,17.5,16.2,15.7,15.2,14.8,14.7,15.4,15.4,15,1,0.99,0.91,0.84,0.81,0.79,0.77,0.76,0.8,0.8,0.78,10,0,3.43
10621,F,BALB/C,1XP,FAM,BALBF,Passaged,BALBF.FAM,HK68BALB,4000,A+B+C+D,20.9,20.4,18.6,17.1,16.9,16.6,16.4,16.4,17.1,17.4,17.1,1,0.98,0.89,0.82,0.81,0.79,0.78,0.78,0.82,0.83,0.82,10,0,3.14
