cID_DI,BP,RI,sense,DVG_type,length_dvg,mean_read_counts,std_read_counts,mean_rpht,std_rpht,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector,SampleID,Segment
++_1142_1391,1142,1391,++,Deletion_forward,1469,2.0,0.0,16.003542311952554,0.2777992705938494,2,0.0010055304172951,0.0009532888465204,15.725743041358704,2,0.00100150225338,0.0009519276534983,16.281341582546403,10009,HA
++_126_1586,126,1586,++,Deletion_forward,258,1.5,0.5,12.072106551612878,4.209235030933526,1,0.0009514747859181,0.0007570022710068,7.862871520679352,2,0.0018132366273798,0.0007194244604316,16.281341582546403,10009,HA
++_156_1386,156,1386,++,Deletion_forward,488,1.0,0.0,8.001771155976277,0.1388996352969247,1,0.0008620689655172,0.000467726847521,7.862871520679352,1,0.0008305647840531,0.0004659832246039,8.140670791273202,10009,HA
++_204_1403,204,1403,++,Deletion_forward,519,4.0,0.0,32.00708462390511,0.5555985411876989,4,0.0027045300878972,0.0019102196752626,31.45148608271741,4,0.0026560424966799,0.0019047619047619,32.56268316509281,10009,HA
++_244_1306,244,1306,++,Deletion_forward,656,5.5,0.5,44.07919117551798,4.764833572121223,5,0.0033990482664853,0.002191060473269,39.31435760339676,6,0.0040295500335795,0.0021862702229995,48.8440247476392,10009,HA
++_658_1413,658,1413,++,Deletion_forward,963,1.5,0.5,12.072106551612878,4.209235030933526,1,0.0005564830272676,0.0004748338081671,7.862871520679352,2,0.0011074197120708,0.0004734848484848,16.281341582546403,10009,HA
-+_1138_432,1138,432,-+,3cb/sb,1866,1.5,0.5,12.072106551612878,4.209235030933526,1,0.000499251123315,0.0005865102639296,7.862871520679352,2,0.0009960159362549,0.0005851375073142,16.281341582546403,10009,HA
-+_1339_187,1339,187,-+,3cb/sb,1910,1.0,0.0,8.001771155976277,0.1388996352969247,1,0.0004413062665489,0.0007209805335255,7.862871520679352,1,0.0004399472063352,0.0007082152974504,8.140670791273202,10009,HA
-+_1371_1492,1371,1492,-+,3cb/sb,573,1.0,0.0,8.001771155976277,0.1388996352969247,1,0.0004578754578754,0.0004863813229571,7.862871520679352,1,0.000456204379562,0.0004807692307692,8.140670791273202,10009,HA
-+_1609_561,1609,561,-+,3cb/sb,1266,1.0,0.0,8.001771155976277,0.1388996352969247,1,0.0008833922261484,0.0005608524957936,7.862871520679352,1,0.0008354218880534,0.0005574136008918,8.140670791273202,10009,HA
-+_668_234,668,234,-+,3cb/sb,2534,1.0,0.0,8.001771155976277,0.1388996352969247,1,0.0005537098560354,0.000667556742323,7.862871520679352,1,0.0005512679162072,0.0006553079947575,8.140670791273202,10009,HA
++_129_803,129,803,++,Deletion_forward,312,3.5,0.5,8.618485283965674,1.3386988243684883,3,0.0004178854993731,0.0003017198028763,7.279786459597186,4,0.0005265236277477,0.0002971179558284,9.957184108334165,10009,M
++_139_222,139,222,++,Deletion_forward,903,5.0,0.0,12.28972878403984,0.1567513513778644,5,0.0006656903208627,0.0004654193428278,12.132977432661976,5,0.000632911392405,0.0004591789879695,12.446480135417705,10009,M
++_187_774,187,774,++,Deletion_forward,399,2.5,1.5,6.191889797433279,3.765294310900884,1,0.0001060670343657,9.207255317189946e-05,2.426595486532395,4,0.0004121162167731,9.113278046113189e-05,9.957184108334165,10009,M
++_205_746,205,746,++,Deletion_forward,445,3.0,0.0,7.373837270423904,0.0940508108267179,3,0.0002955082742316,0.0002650176678445,7.279786459597186,3,0.0002891008962127,0.0002639915522703,7.467888081250622,10009,M
++_441_533,441,533,++,Deletion_forward,894,2.5,0.5,6.129189256882134,1.1505972027150522,3,0.0002678093197643,0.0002790697674418,7.279786459597186,2,0.000177619893428,0.0002777777777777,4.978592054167081,10009,M
++_460_535,460,535,++,Deletion_forward,911,3.0,1.0,7.342487000148331,2.363894945981249,4,0.0003795066413662,0.0003746019853905,9.70638194612958,2,0.000188893086513,0.0003727518404622,4.978592054167081,10009,M
++_498_640,498,640,++,Deletion_forward,844,7.5,0.5,18.450268311197547,1.4640999054707802,7,0.0006660323501427,0.0006967253906638,16.986168405726765,8,0.0007574323044877,0.0006947890818858,19.91436821666833,10009,M
++_538_734,538,734,++,Deletion_forward,790,5.5,0.5,13.53437679758161,1.4013993649196337,5,0.0004653760238272,0.0004357298474945,12.132977432661976,6,0.0005567412081284,0.0004348582362149,14.935776162501243,10009,M
++_546_197,546,197,++,Insertion_forward,1335,1.0,0.0,2.457945756807968,0.0313502702755728,1,9.351912466099315e-05,0.0001020512297173,2.426595486532395,1,9.325748391308402e-05,9.952229299363058e-05,2.4892960270835407,10009,M
